x,y,yaw,direction
2.5,0.5,1.5707963267948966,1
2.5,0.6,1.829777694442205,1
2.474390397740956,0.6966651347287819,2.0887590620895136,1
2.424879284686535,0.783548100171453,1.9764225700320441,1
2.3854198582134973,0.8754336467085387,1.8640860779745747,1
2.356509552614861,0.9711634447350334,1.8640860779745747,1
2.3275992470162246,1.0668932427615279,1.8640860779745747,1
2.298688941417588,1.1626230407880225,1.8640860779745747,1
2.269778635818952,1.258352838814517,1.8640860779745747,1
2.2408683302203154,1.3540826368410117,1.7517495859171053,1
2.2228715952286735,1.452449895263927,1.6394130938596359,1
2.216015301681932,1.5522145745788074,1.6394130938596359,1
2.2091590081351904,1.6519792538936877,1.6394130938596359,1
2.202302714588449,1.751743933208568,1.3804317262123273,1
2.221224406761642,1.8499374643870674,1.1214503585650188,1
2.264662058772749,1.9400106034894766,1.3804317262123273,1
2.283583750945942,2.038204134667976,1.6394130938596359,1
2.2767274573992005,2.137968813982856,1.8983944615069444,1
2.24455047443729,2.2326506061472893,2.157375829154253,1
2.189198920120456,2.3159344907511583,2.4163571968015614,1
2.114364593972681,2.382265657106111,2.67533856444887,1
2.02503874390127,2.427219995150618,2.9343199320961784,1
1.927179163410726,2.4477991716699736,-3.0898840074360994,1
1.8273128228297275,2.4426306110424854,-2.9775475153786295,1
1.7286553484389047,2.4262995747366003,-2.8652110233211596,1
1.632450438269654,2.399011935422683,-2.7528745312636898,1
1.5399108727841453,2.361111687141791,-2.64053803920622,1
1.4494013077350982,2.318755534290127,-2.637770489320351,1
1.3690192537521926,2.259738948338037,-2.3787891216730426,1
1.3064317459010517,2.1821049617024495,-2.1198077540257336,1
1.2453829963113998,2.103249336339126,-2.358699067580009,1
1.3063983080302264,2.1821249584020017,-2.0997176999327,-1
1.345179108218767,2.273995963385553,-1.8407363322853914,-1
1.3591388220022453,2.3727348028107484,-1.5817549646380828,-1
1.3473463740868077,2.4717558621471993,-1.3227735969907741,-1
1.3105882889727716,2.564454703556898,-1.0637922293434654,-1
1.251316231889802,2.6446485641018573,-0.8048108616961569,-1
1.173483489332292,2.7069887293721515,-0.5458294940488484,-1
1.0822812955026162,2.7473172783245428,-0.2868481264015399,-1
0.9837925909780038,2.7629444054122314,-0.02786675875423139,-1
0.8845863069649829,2.752827823366945,0.2311146088930771,-1
0.7912792352883857,2.7176422809512095,0.4900959765403856,-1
0.7100947062060792,2.6597345590340478,0.7490773441876941,-1
0.6999999999999998,2.6499999999999995,0.7853981633974487,-1
